,Reporting Period,Utility,Accounts,Accounts Disconnected,Account Disconnection Rate,Accounts Disconnected between 24 and 48 Hours,Accounts Reconnected in <24 Hours,Accounts Disconnected for >48 Hours,Accounts Disconnected Multiple Times,Accounts Notified Before Disconnection,Accounts in 30+ Day Arrears,Accounts in 30-60 Day Arrears,Accounts in 60+ Day Arrears,Percentage of Accounts in 30-60 Day Arrears,Percentage of Accounts in 60+ Day Arrears,Percentage of Accounts in 30+ Day Arrears,Average Balance of 30-60 Day Arrears,Average Balance of 60+ Day Arrears,Average Balance of 30+ Day Arrears,Total Balance of 30+ Day Arrears,Total Balance of 30-60 Day Arrears,Total Balance of 60+ Day Arrears,Accounts Past Due or Delinquent,Percentage of Accounts Past Due or Delinquent,Accounts on Repayment Plans,Accounts in Good Standing on Repayment Plans,Average Balance of Repayment Plans,Total Balance of Repayment Plans,Vulnerable Accounts,Vulnerable Accounts Disconnected
94,2022-01-01,Duke Energy Carolinas,1820291.0,1012.0,0.0005559550643276,,445.0,,,,,,,,,,,,,,,,360254.0,0.197910114371823,77976.0,77976.0,656.8381168564687,51217609.0,,
95,2022-01-01,Dominion Energy,106149.0,1.0,9.42071993141716e-06,,1.0,,,,,,,,,,,,,,,,17781.0,0.1675098211005285,6830.0,6830.0,1288.1999853587115,8798405.9,,
96,2021-12-01,Dominion Energy,106011.0,110.0,0.0010376281706615,,31.0,,,,,,,,,,,,,,,,18315.0,0.1727650904151456,6898.0,6898.0,1262.7862177442737,8710699.33,,
97,2021-12-01,Duke Energy Progress,1278352.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,40869.0,40869.0,476.6063520027405,19478425.0,,
98,2021-12-01,Duke Energy Carolinas,1818281.0,2258.0,0.0012418322580503,,1079.0,,,,,,,,,,,,,,,,329793.0,0.1813762559252393,81457.0,81457.0,664.5960568152523,54136001.0,,
99,2021-11-01,Duke Energy Progress,1275434.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,41127.0,41127.0,412.6227539086245,16969936.0,,
100,2021-11-01,Duke Energy Carolinas,1816054.0,461.0,0.0002538470772344,,191.0,,,,,,,,,,,,,,,,311186.0,0.1713528342218899,85060.0,85060.0,670.7705149306372,57055740.0,,
101,2021-11-01,Dominion Energy,105941.0,292.0,0.0027562511209069,,72.0,,,,,,,,,,,,,,,,18433.0,0.173993071615333,7441.0,7441.0,1271.1719594140573,9458790.55,,
102,2021-10-01,Dominion Energy,106028.0,140.0,0.0013204059305089,,33.0,,,,,,,,,,,,,,,,19236.0,0.1814237748519259,6030.0,6030.0,1334.9753731343285,8049901.5,,
103,2021-10-01,Duke Energy Carolinas,1813613.0,963.0,0.0005309842838576,,481.0,,,,,,,,,,,,,,,,300256.0,0.1655568194537643,93269.0,93269.0,668.8902422026612,62386724.0,,
104,2021-10-01,Duke Energy Progress,1268401.0,1.0,7.883942065640124e-07,,57.0,,,,,,,,,,,,,,,,190364.0,0.1500818747383516,44429.0,27025.0,135.85322649620744,6035823.0,,
105,2021-09-01,Dominion Energy,106043.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,18448.0,0.1739671642635534,4894.0,4894.0,1216.2974274621986,5952559.61,,
106,2021-09-01,Duke Energy Carolinas,1812603.0,5691.0,0.0031396836483223,,2541.0,,,,,,,,,,,,,,,,314323.0,0.1734097317504163,90369.0,90369.0,666.9212340514999,60269005.0,,
107,2021-09-01,Duke Energy Progress,1265158.0,8458.0,0.0066853310021357,,6397.0,,,,,,,,,,,,,,,,162505.0,0.1284464074842826,45284.0,36014.0,106.34303506757354,4815638.0,,
108,2021-08-01,Dominion Energy,105946.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,18211.0,0.1718894531176259,4749.0,4749.0,1158.5945588544955,5502165.56,,
